"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"09/07/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","16","67.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/08/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/09/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/10/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/11/2024","AQS","090030025","1","0.3","ppm","3","Huntley Place-Hartford","4","17.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/19/2024","AQS","090030025","1","0.3","ppm","3","Huntley Place-Hartford","16","67.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/20/2024","AQS","090030025","1","0.3","ppm","3","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/21/2024","AQS","090030025","1","0.2","ppm","2","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/22/2024","AQS","090030025","1","0.3","ppm","3","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/23/2024","AQS","090030025","1","0.3","ppm","3","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
